date,index,food,clothing,health,communications,recreation,meanIbexValue,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009-01,4.54572798983082,4.61214579972452,4.54134607626457,4.63844053849949,4.62364840723386,4.61352518557083,9.08435276358361,1,0,0,0,0,0,0,0,0,0,0,0
2009-02,4.54583410864154,4.60754735827384,4.52699240492407,4.64039253169785,4.62335385642172,4.61522942180199,8.99409384528751,0,1,0,0,0,0,0,0,0,0,0,0
2009-03,4.54747751180944,4.60079060962878,4.56028787619965,4.63897239939656,4.62341277352537,4.61697029010384,8.92594520489124,0,0,1,0,0,0,0,0,0,0,0,0
2009-04,4.557197687439,4.59755123535485,4.65014355163082,4.64220582128892,4.62299045755801,4.6305552417112,9.06550085459679,0,0,0,1,0,0,0,0,0,0,0,0
2009-05,4.55685141069746,4.59217612769263,4.66557831378315,4.62105337761563,4.62106321999,4.61587270912123,9.13332061062206,0,0,0,0,1,0,0,0,0,0,0,0
2009-06,4.56123919688212,4.58808506293028,4.65757286478114,4.62116163840614,4.61997997764157,4.62099432133498,9.16494015258776,0,0,0,0,0,1,0,0,0,0,0,0
2009-07,4.55266563200594,4.58594659102033,4.53180347749211,4.62154537770427,4.61948720658288,4.62858393239711,9.21256470430944,0,0,0,0,0,0,1,0,0,0,0,0
2009-08,4.5561479949025,4.58758649503078,4.523363423284,4.62151586452418,4.61962520695768,4.63484548629784,9.30639255328211,0,0,0,0,0,0,0,1,0,0,0,0
2009-09,4.55379267752832,4.58711822538034,4.55890632801821,4.62263675348672,4.6194970643841,4.61662433603321,9.35421653266454,0,0,0,0,0,0,0,0,1,0,0,0
2009-10,4.56089431703798,4.58559993169122,4.65015311181457,4.62300028088546,4.61928017030643,4.60966009126094,9.36639355113064,0,0,0,0,0,0,0,0,0,1,0,0
2009-11,4.56630460976622,4.58600775372333,4.69393169726555,4.6234520496661,4.61916184461483,4.60262695471531,9.37179310916074,0,0,0,0,0,0,0,0,0,0,1,0
2009-12,4.56604466830358,4.58798333456527,4.68153845887924,4.62364840723386,4.6188758330442,4.61624859319509,9.37828685348981,0,0,0,0,0,0,0,0,0,0,0,1
2012-01,4.60791641165612,4.61864893810052,4.53509101040072,4.58136917580214,4.57470066917189,4.59383619832319,9.05021274934992,1,0,0,0,0,0,0,0,0,0,0,0
2012-02,4.60896298422679,4.61978289835594,4.51747493884893,4.58199367353688,4.57520570146862,4.5962202545685,9.07219925959161,0,1,0,0,0,0,0,0,0,0,0,0
2012-03,4.61566492308073,4.62078759688317,4.55525488909416,4.58194249986879,4.57625617582345,4.60354887236919,9.02562184352321,0,0,1,0,0,0,0,0,0,0,0,0
2012-04,4.62960910786511,4.62322619078766,4.64950281102755,4.58132821150252,4.57240936274461,4.61377307479536,8.89583767987557,0,0,0,1,0,0,0,0,0,0,0,0
2012-05,4.62813447662185,4.62146667395498,4.6707144511955,4.5812257934113,4.57308078447948,4.59774267015929,8.80200468543821,0,0,0,0,1,0,0,0,0,0,0,0
2012-06,4.62626609428282,4.62547268832592,4.66145599699868,4.58126676190653,4.57255401475346,4.60326837869849,8.7930431050313,0,0,0,0,0,1,0,0,0,0,0,0
2012-07,4.62392324307026,4.62391342880523,4.53162051949122,4.67406171900714,4.5542452448028,4.62284309606526,8.79994987099244,0,0,0,0,0,0,1,0,0,0,0,0
2012-08,4.62954079552153,4.62815402237847,4.52035276415417,4.6669799875544,4.55425576718654,4.63326189315428,8.88017570516557,0,0,0,0,0,0,0,1,0,0,0,0
2012-09,4.6393300376348,4.63304796445006,4.5602460391341,4.70581158410594,4.57927785402214,4.62243036832214,8.97656638850433,0,0,0,0,0,0,0,0,1,0,0,0
2012-10,4.64779854804371,4.6361163748781,4.65969624934266,4.70784409595059,4.5791444351637,4.62159456440223,8.96562626510096,0,0,0,0,0,0,0,0,0,1,0,0
2012-11,4.64655202376686,4.64106807698508,4.70928692848065,4.70818695722145,4.5685062016165,4.60817566500792,8.95994314964301,0,0,0,0,0,0,0,0,0,0,1,0
2012-12,4.64725218636746,4.64595697988881,4.69315359040596,4.70730249659449,4.56851657500668,4.62636400199509,8.9943726257932,0,0,0,0,0,0,0,0,0,0,0,1
2014-01,4.63638780580545,4.66157887440972,4.53191108421117,4.7080335864473,4.48538389515524,4.59311784746392,9.22485755230901,1,0,0,0,0,0,0,0,0,0,0,0
2014-02,4.63595154157753,4.65797134297922,4.51484058249642,4.70701352362048,4.48590229848463,4.60022799344877,9.21515076333437,0,1,0,0,0,0,0,0,0,0,0,0
2014-03,4.63817933959504,4.65130921996778,4.55613749241078,4.70896247261732,4.48573328344752,4.60279737309284,9.22002987452146,0,0,1,0,0,0,0,0,0,0,0,0
