Group;2016M04;2016M03;2016M02;2016M01;2015M12;2015M11;2015M10;2015M09;2015M08;2015M07;2015M06;2015M05;2015M04;2015M03;2015M02;2015M01;2014M12;2014M11;2014M10;2014M09;2014M08;2014M07;2014M06;2014M05;2014M04;2014M03;2014M02;2014M01;2013M12;2013M11;2013M10;2013M09;2013M08;2013M07;2013M06;2013M05;2013M04;2013M03;2013M02;2013M01;2012M12;2012M11;2012M10;2012M09;2012M08;2012M07;2012M06;2012M05;2012M04;2012M03;2012M02;2012M01;2011M12;2011M11;2011M10;2011M09;2011M08;2011M07;2011M06;2011M05;2011M04;2011M03;2011M02;2011M01;2010M12;2010M11;2010M10;2010M09;2010M08;2010M07;2010M06;2010M05;2010M04;2010M03;2010M02;2010M01;2009M12;2009M11;2009M10;2009M09;2009M08;2009M07;2009M06;2009M05;2009M04;2009M03;2009M02;2009M01;2008M12;2008M11;2008M10;2008M09;2008M08;2008M07;2008M06;2008M05;2008M04;2008M03;2008M02;2008M01;2007M12;2007M11;2007M10;2007M09;2007M08;2007M07;2007M06;2007M05;2007M04;2007M03;2007M02;2007M01;2006M12;2006M11;2006M10;2006M09;2006M08;2006M07;2006M06;2006M05;2006M04;2006M03;2006M02;2006M01;2005M12;2005M11;2005M10;2005M09;2005M08;2005M07;2005M06;2005M05;2005M04;2005M03;2005M02;2005M01;2004M12;2004M11;2004M10;2004M09;2004M08;2004M07;2004M06;2004M05;2004M04;2004M03;2004M02;2004M01;2003M12;2003M11;2003M10;2003M09;2003M08;2003M07;2003M06;2003M05;2003M04;2003M03;2003M02;2003M01;2002M12;2002M11;2002M10;2002M09;2002M08;2002M07;2002M06;2002M05;2002M04;2002M03;2002M02;2002M01;2016M04;2016M03;2016M02;2016M01;2015M12;2015M11;2015M10;2015M09;2015M08;2015M07;2015M06;2015M05;2015M04;2015M03;2015M02;2015M01;2014M12;2014M11;2014M10;2014M09;2014M08;2014M07;2014M06;2014M05;2014M04;2014M03;2014M02;2014M01;2013M12;2013M11;2013M10;2013M09;2013M08;2013M07;2013M06;2013M05;2013M04;2013M03;2013M02;2013M01;2012M12;2012M11;2012M10;2012M09;2012M08;2012M07;2012M06;2012M05;2012M04;2012M03;2012M02;2012M01;2011M12;2011M11;2011M10;2011M09;2011M08;2011M07;2011M06;2011M05;2011M04;2011M03;2011M02;2011M01;2010M12;2010M11;2010M10;2010M09;2010M08;2010M07;2010M06;2010M05;2010M04;2010M03;2010M02;2010M01;2009M12;2009M11;2009M10;2009M09;2009M08;2009M07;2009M06;2009M05;2009M04;2009M03;2009M02;2009M01;2008M12;2008M11;2008M10;2008M09;2008M08;2008M07;2008M06;2008M05;2008M04;2008M03;2008M02;2008M01;2007M12;2007M11;2007M10;2007M09;2007M08;2007M07;2007M06;2007M05;2007M04;2007M03;2007M02;2007M01;2006M12;2006M11;2006M10;2006M09;2006M08;2006M07;2006M06;2006M05;2006M04;2006M03;2006M02;2006M01;2005M12;2005M11;2005M10;2005M09;2005M08;2005M07;2005M06;2005M05;2005M04;2005M03;2005M02;2005M01;2004M12;2004M11;2004M10;2004M09;2004M08;2004M07;2004M06;2004M05;2004M04;2004M03;2004M02;2004M01;2003M12;2003M11;2003M10;2003M09;2003M08;2003M07;2003M06;2003M05;2003M04;2003M03;2003M02;2003M01;2002M12;2002M11;2002M10;2002M09;2002M08;2002M07;2002M06;2002M05;2002M04;2002M03;2002M02;2002M01;2016M04;2016M03;2016M02;2016M01;2015M12;2015M11;2015M10;2015M09;2015M08;2015M07;2015M06;2015M05;2015M04;2015M03;2015M02;2015M01;2014M12;2014M11;2014M10;2014M09;2014M08;2014M07;2014M06;2014M05;2014M04;2014M03;2014M02;2014M01;2013M12;2013M11;2013M10;2013M09;2013M08;2013M07;2013M06;2013M05;2013M04;2013M03;2013M02;2013M01;2012M12;2012M11;2012M10;2012M09;2012M08;2012M07;2012M06;2012M05;2012M04;2012M03;2012M02;2012M01;2011M12;2011M11;2011M10;2011M09;2011M08;2011M07;2011M06;2011M05;2011M04;2011M03;2011M02;2011M01;2010M12;2010M11;2010M10;2010M09;2010M08;2010M07;2010M06;2010M05;2010M04;2010M03;2010M02;2010M01;2009M12;2009M11;2009M10;2009M09;2009M08;2009M07;2009M06;2009M05;2009M04;2009M03;2009M02;2009M01;2008M12;2008M11;2008M10;2008M09;2008M08;2008M07;2008M06;2008M05;2008M04;2008M03;2008M02;2008M01;2007M12;2007M11;2007M10;2007M09;2007M08;2007M07;2007M06;2007M05;2007M04;2007M03;2007M02;2007M01;2006M12;2006M11;2006M10;2006M09;2006M08;2006M07;2006M06;2006M05;2006M04;2006M03;2006M02;2006M01;2005M12;2005M11;2005M10;2005M09;2005M08;2005M07;2005M06;2005M05;2005M04;2005M03;2005M02;2005M01;2004M12;2004M11;2004M10;2004M09;2004M08;2004M07;2004M06;2004M05;2004M04;2004M03;2004M02;2004M01;2003M12;2003M11;2003M10;2003M09;2003M08;2003M07;2003M06;2003M05;2003M04;2003M03;2003M02;2003M01;2002M12;2002M11;2002M10;2002M09;2002M08;2002M07;2002M06;2002M05;2002M04;2002M03;2002M02;2002M01;2016M04;2016M03;2016M02;2016M01;2015M12;2015M11;2015M10;2015M09;2015M08;2015M07;2015M06;2015M05;2015M04;2015M03;2015M02;2015M01;2014M12;2014M11;2014M10;2014M09;2014M08;2014M07;2014M06;2014M05;2014M04;2014M03;2014M02;2014M01;2013M12;2013M11;2013M10;2013M09;2013M08;2013M07;2013M06;2013M05;2013M04;2013M03;2013M02;2013M01;2012M12;2012M11;2012M10;2012M09;2012M08;2012M07;2012M06;2012M05;2012M04;2012M03;2012M02;2012M01;2011M12;2011M11;2011M10;2011M09;2011M08;2011M07;2011M06;2011M05;2011M04;2011M03;2011M02;2011M01;2010M12;2010M11;2010M10;2010M09;2010M08;2010M07;2010M06;2010M05;2010M04;2010M03;2010M02;2010M01;2009M12;2009M11;2009M10;2009M09;2009M08;2009M07;2009M06;2009M05;2009M04;2009M03;2009M02;2009M01;2008M12;2008M11;2008M10;2008M09;2008M08;2008M07;2008M06;2008M05;2008M04;2008M03;2008M02;2008M01;2007M12;2007M11;2007M10;2007M09;2007M08;2007M07;2007M06;2007M05;2007M04;2007M03;2007M02;2007M01;2006M12;2006M11;2006M10;2006M09;2006M08;2006M07;2006M06;2006M05;2006M04;2006M03;2006M02;2006M01;2005M12;2005M11;2005M10;2005M09;2005M08;2005M07;2005M06;2005M05;2005M04;2005M03;2005M02;2005M01;2004M12;2004M11;2004M10;2004M09;2004M08;2004M07;2004M06;2004M05;2004M04;2004M03;2004M02;2004M01;2003M12;2003M11;2003M10;2003M09;2003M08;2003M07;2003M06;2003M05;2003M04;2003M03;2003M02;2003M01;2002M12;2002M11;2002M10;2002M09;2002M08;2002M07;2002M06;2002M05;2002M04;2002M03;2002M02;2002M01
Overall index;102,521;101,807;101,158;101,516;103,490;103,794;103,415;102,758;103,074;103,418;104,387;104,109;103,614;102,670;102,019;101,810;103,472;104,079;104,152;103,668;103,511;103,348;104,329;104,299;104,276;103,356;103,126;103,171;104,562;104,468;104,251;103,829;104,023;103,701;104,239;104,085;103,894;103,507;103,144;102,966;104,298;104,225;104,355;103,475;102,467;101,893;102,132;102,323;102,474;101,055;100,380;100,275;101,391;101,259;100,850;100,061;99,817;99,693;100,232;100,373;100,406;99,172;98,436;98,311;99,036;98,431;97,900;97,013;96,946;96,703;97,138;96,965;96,749;95,730;95,025;95,198;96,163;96,188;95,669;94,992;95,216;94,885;95,702;95,283;95,316;94,394;94,239;94,229;95,405;95,897;96,306;95,976;95,995;96,202;96,666;96,113;95,468;94,451;93,621;93,475;94,057;93,665;92,998;91,808;91,508;91,383;92,052;91,883;91,631;90,383;89,703;89,642;90,248;90,002;89,780;89,413;89,560;89,377;89,913;89,776;89,454;88,210;87,590;87,548;87,904;87,716;87,584;86,877;86,346;85,969;86,498;86,297;86,132;84,909;84,243;84,025;84,739;84,822;84,610;83,750;83,600;83,233;83,869;83,736;83,245;82,121;81,551;81,514;82,090;81,949;81,683;81,136;80,895;80,525;81,033;80,980;81,055;80,401;79,847;79,677;80,007;79,742;79,618;78,838;78,544;78,319;78,867;78,863;78,580;77,528;76,892;76,826;0,7;0,6;-0,4;-1,9;-0,3;0,4;0,6;-0,3;-0,3;-0,9;0,3;0,5;0,9;0,6;0,2;-1,6;-0,6;-0,1;0,5;0,2;0,2;-0,9;0,0;0,0;0,9;0,2;0,0;-1,3;0,1;0,2;0,4;-0,2;0,3;-0,5;0,1;0,2;0,4;0,4;0,2;-1,3;0,1;-0,1;0,8;1,0;0,6;-0,2;-0,2;-0,1;1,4;0,7;0,1;-1,1;0,1;0,4;0,8;0,2;0,1;-0,5;-0,1;0,0;1,2;0,7;0,1;-0,7;0,6;0,5;0,9;0,1;0,3;-0,4;0,2;0,2;1,1;0,7;-0,2;-1,0;0,0;0,5;0,7;-0,2;0,3;-0,9;0,4;0,0;1,0;0,2;0,0;-1,2;-0,5;-0,4;0,3;0,0;-0,2;-0,5;0,6;0,7;1,1;0,9;0,2;-0,6;0,4;0,7;1,3;0,3;0,1;-0,7;0,2;0,3;1,4;0,8;0,1;-0,7;0,3;0,2;0,4;-0,2;0,2;-0,6;0,2;0,4;1,4;0,7;0,0;-0,4;0,2;0,2;0,8;0,6;0,4;-0,6;0,2;0,2;1,4;0,8;0,3;-0,8;-0,1;0,2;1,0;0,2;0,4;-0,8;0,2;0,6;1,4;0,7;0,0;-0,7;0,2;0,3;0,7;0,3;0,5;-0,6;0,1;-0,1;0,8;0,7;0,2;-0,4;0,3;0,2;1,0;0,4;0,3;-0,7;0,0;0,4;1,4;0,8;0,1;-0,1;-1,1;-0,8;-0,8;-0,3;0,0;-0,3;-0,7;-0,9;-0,4;0,1;0,1;-0,2;-0,6;-0,7;-1,1;-1,3;-1,0;-0,4;-0,1;-0,2;-0,5;-0,3;0,1;0,2;0,4;-0,1;0,0;0,2;0,3;0,2;-0,1;0,3;1,5;1,8;2,1;1,7;1,4;2,4;2,8;2,7;2,9;2,9;3,5;3,4;2,7;2,2;1,9;1,9;2,1;1,9;2,0;2,0;2,4;2,9;3,0;3,1;3,0;3,1;3,2;3,5;3,8;3,6;3,6;3,3;3,0;2,3;2,3;2,1;1,8;1,9;1,5;1,8;1,5;1,4;0,8;1,0;0,8;0,3;-0,7;-1,0;-0,8;-1,4;-1,0;-0,9;-0,2;-0,1;0,7;0,8;1,4;2,4;3,6;4,5;4,9;5,3;5,0;4,6;4,2;4,5;4,4;4,3;4,2;4,1;3,6;2,7;2,2;2,2;2,4;2,3;2,4;2,5;2,4;2,4;2,7;2,6;2,5;2,9;3,7;4,0;3,9;4,0;3,9;3,9;4,0;4,2;3,7;3,4;3,5;3,7;3,3;3,3;3,1;3,1;3,5;3,4;3,3;3,1;3,2;3,5;3,6;3,2;3,3;3,4;3,5;3,4;2,7;2,1;2,1;2,3;2,6;2,8;2,6;2,9;3,0;2,8;2,7;2,7;3,1;3,7;3,8;3,7;4,0;3,9;4,0;3,5;3,6;3,4;3,4;3,6;3,6;3,1;3,1;3,1;-0,9;-1,6;-2,3;-1,9;0,0;0,3;-0,1;-0,7;-0,4;-0,1;0,9;0,6;0,1;-0,8;-1,4;-1,6;-1,0;-0,5;-0,4;-0,9;-1,0;-1,2;-0,2;-0,3;-0,3;-1,2;-1,4;-1,3;0,3;0,2;0,0;-0,4;-0,3;-0,6;-0,1;-0,2;-0,4;-0,8;-1,1;-1,3;2,9;2,8;2,9;2,1;1,1;0,5;0,7;0,9;1,1;-0,3;-1,0;-1,1;2,4;2,2;1,8;1,0;0,8;0,7;1,2;1,3;1,4;0,1;-0,6;-0,7;3,0;2,4;1,8;0,9;0,8;0,6;1,0;0,8;0,6;-0,5;-1,2;-1,0;0,8;0,8;0,3;-0,4;-0,2;-0,5;0,3;-0,1;-0,1;-1,1;-1,2;-1,2;1,4;2,0;2,4;2,0;2,1;2,3;2,8;2,2;1,5;0,4;-0,5;-0,6;4,2;3,8;3,0;1,7;1,4;1,3;2,0;1,8;1,5;0,1;-0,6;-0,7;2,7;2,4;2,1;1,7;1,9;1,7;2,3;2,1;1,8;0,3;-0,4;-0,4;3,7;3,5;3,4;2,5;1,9;1,5;2,1;1,8;1,6;0,2;-0,6;-0,8;3,2;3,3;3,1;2,0;1,8;1,4;2,2;2,0;1,4;0,0;-0,7;-0,7;2,6;2,4;2,1;1,4;1,1;0,6;1,3;1,2;1,3;0,5;-0,2;-0,4;4,0;3,7;3,5;2,5;2,1;1,8;2,5;2,5;2,1;0,8;0,0;-0,1
Food and non-alcoholic beverages;107,100;106,919;106,965;107,551;106,962;106,930;107,133;106,520;106,444;105,694;106,116;105,580;105,036;105,115;105,626;105,344;105,060;105,114;105,167;104,607;104,504;104,244;104,220;104,264;104,615;104,722;105,422;105,803;105,410;104,928;104,786;105,416;106,843;106,366;105,777;105,119;104,479;104,167;104,289;104,562;104,163;103,655;103,143;102,827;102,325;101,892;102,051;101,643;101,822;101,574;101,472;101,357;101,102;100,782;100,591;100,520;100,302;100,085;99,898;99,821;99,556;99,276;98,946;99,120;98,996;98,635;98,430;98,289;98,189;97,765;97,572;97,367;97,392;97,507;97,485;98,243;98,296;98,102;98,062;98,211;98,257;98,096;98,306;98,709;99,241;99,563;100,238;100,700;100,690;100,529;100,496;100,615;100,371;100,229;100,131;99,485;99,290;98,973;98,714;98,855;98,339;97,505;96,639;94,798;93,946;93,647;93,404;93,235;93,120;92,592;92,231;92,381;92,233;91,746;91,590;91,643;91,388;91,242;90,872;90,388;90,193;90,021;89,984;90,236;89,394;88,272;87,743;87,584;87,398;87,077;87,262;87,255;87,167;86,602;86,249;86,414;85,817;85,582;85,262;85,236;85,211;84,966;84,593;84,582;84,204;83,793;83,373;83,701;83,282;82,927;82,808;82,759;82,044;81,341;80,887;80,747;80,523;80,490;80,204;80,474;80,036;79,535;79,420;79,274;78,860;78,489;78,164;77,963;77,627;77,127;76,720;76,747;0,2;0,0;-0,5;0,5;0,0;-0,2;0,6;0,1;0,7;-0,4;0,5;0,5;-0,1;-0,5;0,3;0,3;-0,1;0,0;0,5;0,1;0,2;0,0;0,0;-0,3;-0,1;-0,7;-0,4;0,4;0,5;0,1;-0,6;-1,3;0,4;0,6;0,6;0,6;0,3;-0,1;-0,3;0,4;0,5;0,5;0,3;0,5;0,4;-0,2;0,4;-0,2;0,2;0,1;0,1;0,3;0,3;0,2;0,1;0,2;0,2;0,2;0,1;0,3;0,3;0,3;-0,2;0,1;0,4;0,2;0,1;0,1;0,4;0,2;0,2;0,0;-0,1;0,0;-0,8;-0,1;0,2;0,0;-0,2;0,0;0,2;-0,2;-0,4;-0,5;-0,3;-0,7;-0,5;0,0;0,2;0,0;-0,1;0,2;0,1;0,1;0,6;0,2;0,3;0,3;-0,1;0,5;0,9;0,9;1,9;0,9;0,3;0,3;0,2;0,1;0,6;0,4;-0,2;0,2;0,5;0,2;-0,1;0,3;0,2;0,4;0,5;0,2;0,2;0,0;-0,3;0,9;1,3;0,6;0,2;0,2;0,4;-0,2;0,0;0,1;0,7;0,4;-0,2;0,7;0,3;0,4;0,0;0,0;0,3;0,4;0,0;0,4;0,5;0,5;-0,4;0,5;0,4;0,1;0,1;0,9;0,9;0,6;0,2;0,3;0,0;0,4;-0,3;0,5;0,6;0,1;0,2;0,5;0,5;0,4;0,3;0,4;0,6;0,5;0,0;0,3;2,0;1,7;1,3;2,1;1,8;1,7;1,9;1,8;1,9;1,4;1,8;1,3;0,4;0,4;0,2;-0,4;-0,3;0,2;0,4;-0,8;-2,2;-2,0;-1,5;-0,8;0,1;0,5;1,1;1,2;1,2;1,2;1,6;2,5;4,4;4,4;3,7;3,4;2,6;2,6;2,8;3,2;3,0;2,9;2,5;2,3;2,0;1,8;2,2;1,8;2,3;2,3;2,6;2,3;2,1;2,2;2,2;2,3;2,2;2,4;2,4;2,5;2,2;1,8;1,5;0,9;0,7;0,5;0,4;0,1;-0,1;-0,3;-0,7;-1,4;-1,9;-2,1;-2,7;-2,4;-2,4;-2,4;-2,4;-2,4;-2,1;-2,1;-1,8;-0,8;-0,1;0,6;1,5;1,9;2,4;3,1;4,0;6,1;6,8;7,0;7,2;6,7;6,6;6,9;7,0;7,0;6,6;6,3;5,5;3,4;2,8;2,6;2,8;3,2;3,2;2,9;2,5;2,4;3,2;3,9;4,4;4,6;4,6;4,8;4,1;3,6;3,5;3,9;4,3;4,4;4,2;3,1;2,9;2,8;2,6;2,5;3,2;3,2;3,5;3,4;3,5;3,2;3,0;3,2;3,0;3,0;3,9;4,5;4,6;4,7;4,6;4,1;4,0;4,0;4,1;4,3;4,3;4,4;4,0;3,6;3,5;3,6;3,7;4,4;4,5;4,9;4,6;4,9;5,1;4,8;4,6;4,6;4,7;4,7;4,7;4,3;4,5;4,4;0,1;0,0;0,0;0,5;1,8;1,8;2,0;1,4;1,3;0,6;1,0;0,5;0,0;0,1;0,5;0,3;-0,3;-0,3;-0,2;-0,8;-0,9;-1,1;-1,1;-1,1;-0,8;-0,7;0,0;0,4;1,2;0,7;0,6;1,2;2,6;2,1;1,5;0,9;0,3;0,0;0,1;0,4;3,0;2,5;2,0;1,7;1,2;0,8;0,9;0,5;0,7;0,5;0,4;0,3;2,1;1,8;1,6;1,5;1,3;1,1;0,9;0,8;0,6;0,3;0,0;0,1;0,7;0,3;0,1;0,0;-0,1;-0,5;-0,7;-0,9;-0,9;-0,8;-0,8;-0,1;-2,4;-2,6;-2,6;-2,5;-2,4;-2,6;-2,4;-2,0;-1,4;-1,1;-0,4;0,0;2,4;2,2;2,2;2,3;2,1;1,9;1,8;1,2;1,0;0,6;0,4;0,5;6,6;5,7;4,8;2,8;1,9;1,5;1,3;1,1;1,0;0,4;0,0;0,2;3,2;2,6;2,5;2,5;2,2;2,1;1,7;1,1;0,9;0,7;0,7;0,9;4,2;2,9;2,2;2,1;1,8;1,5;1,7;1,7;1,6;0,9;0,5;0,7;3,0;2,8;2,4;2,3;2,3;2,0;1,6;1,6;1,1;0,6;0,1;0,5;4,1;3,6;3,5;3,4;2,5;1,6;1,1;0,9;0,6;0,6;0,2;0,5;4,6;4,0;3,8;3,6;3,1;2,6;2,2;1,9;1,5;0,8;0,3;0,3
Alcoholic beverages and tobacco;116,055;116,025;115,925;115,641;115,616;115,710;115,726;115,703;115,641;115,632;115,564;115,557;115,515;115,555;115,433;114,655;114,108;114,312;114,288;114,226;114,216;114,106;113,586;113,696;113,788;113,920;113,827;113,662;113,668;113,819;113,877;113,766;113,712;113,380;111,292;111,266;111,054;111,002;110,928;110,487;107,618;107,379;107,560;107,547;107,209;106,987;106,731;106,716;105,593;102,658;102,606;102,285;102,117;102,116;101,961;100,969;97,548;97,667;95,722;100,461;100,447;100,509;100,352;100,130;98,036;92,442;92,394;92,420;92,411;92,451;92,019;87,607;87,585;87,600;87,614;86,242;85,096;85,175;85,148;85,117;85,083;85,031;81,514;78,117;78,154;78,115;78,027;77,116;75,502;75,477;75,412;75,343;75,273;75,257;75,240;75,191;75,140;75,014;74,883;74,127;72,636;72,562;72,480;72,339;72,355;72,358;72,307;72,256;72,201;72,150;72,057;71,895;68,479;68,100;68,013;67,997;67,927;68,172;68,156;68,066;67,907;67,718;64,121;66,035;67,505;67,433;67,397;67,286;66,807;66,744;66,742;66,490;66,465;64,426;64,428;64,330;64,228;64,232;64,256;64,269;64,236;64,214;64,142;63,702;61,185;61,130;61,047;60,967;60,884;60,824;60,810;60,810;60,808;60,782;60,458;60,448;60,409;60,346;60,219;59,310;59,234;59,251;59,242;59,231;59,221;59,183;59,149;59,147;58,995;56,693;56,586;56,576;0,0;0,1;0,2;0,0;-0,1;0,0;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,1;0,7;0,5;-0,2;0,0;0,1;0,0;0,1;0,5;-0,1;-0,1;-0,1;0,1;0,1;0,0;-0,1;-0,1;0,1;0,0;0,3;1,9;0,0;0,2;0,0;0,1;0,4;2,7;0,2;-0,2;0,0;0,3;0,2;0,2;0,0;1,1;2,9;0,1;0,3;0,2;0,0;0,2;1,0;3,5;-0,1;2,0;-4,7;0,0;-0,1;0,2;0,2;2,1;6,1;0,1;0,0;0,0;0,0;0,5;5,0;0,0;0,0;0,0;1,6;1,3;-0,1;0,0;0,0;0,0;0,1;4,3;4,3;0,0;0,0;0,1;1,2;2,1;0,0;0,1;0,1;0,1;0,0;0,0;0,1;0,1;0,2;0,2;1,0;2,1;0,1;0,1;0,2;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,2;5,0;0,6;0,1;0,0;0,1;-0,4;0,0;0,1;0,2;0,3;5,6;-2,9;-2,2;0,1;0,1;0,2;0,7;0,1;0,0;0,4;0,0;3,2;0,0;0,2;0,2;0,0;0,0;0,0;0,1;0,0;0,1;0,7;4,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,5;0,0;0,1;0,1;0,2;1,5;0,1;0,0;0,0;0,0;0,0;0,1;0,1;0,0;0,3;4,1;0,2;0,0;-0,1;0,5;0,4;0,4;0,9;1,3;1,2;1,3;1,3;1,2;1,3;1,7;1,6;1,5;1,4;1,4;0,9;0,4;0,4;0,4;0,4;0,4;0,6;2,1;2,2;2,5;2,6;2,6;2,9;5,6;6,0;5,9;5,8;6,1;6,0;4,3;4,3;5,2;8,1;8,1;8,0;5,4;5,2;5,5;6,5;9,9;9,5;11,5;6,2;5,1;2,1;2,2;2,2;4,2;10,5;10,4;9,2;5,6;5,6;4,0;14,7;14,7;14,7;14,5;16,1;15,2;8,5;8,5;8,6;8,6;8,7;12,9;12,1;12,1;12,1;12,3;11,8;12,7;12,8;12,9;13,0;13,0;13,0;8,3;3,9;4,0;4,1;4,2;4,0;3,9;4,0;4,0;4,2;4,0;4,0;4,1;4,1;4,1;4,0;3,9;3,1;6,1;6,6;6,6;6,4;6,5;6,1;6,1;6,2;6,3;6,5;12,4;8,9;1,4;1,0;0,9;1,1;1,7;2,1;2,1;2,4;2,2;5,1;-0,5;2,7;5,1;5,0;4,9;4,7;4,0;3,9;4,1;4,4;8,6;5,4;5,5;5,5;5,5;5,6;5,7;5,7;5,6;5,6;6,1;5,4;1,3;1,3;1,4;2,8;2,8;2,7;2,6;2,7;2,7;2,7;2,2;2,2;2,4;6,4;6,4;4,8;4,6;4,6;4,6;6,2;7,2;7,2;7,3;7,5;7,9;3,7;3,5;3,6;0,4;0,4;0,3;0,0;1,3;1,4;1,4;1,4;1,3;1,3;1,3;1,3;1,2;1,3;1,2;0,5;0,4;0,6;0,5;0,5;0,5;0,4;-0,1;0,0;0,1;0,2;0,1;0,0;5,6;5,8;5,8;5,7;5,7;5,4;3,4;3,4;3,2;3,1;3,1;2,7;5,4;5,2;5,3;5,3;5,0;4,8;4,5;4,5;3,4;0,5;0,5;0,2;4,2;4,2;4,0;3,0;-0,5;-0,4;-2,4;2,5;2,5;2,5;2,4;2,1;15,2;8,6;8,6;8,6;8,6;8,6;8,1;3,0;2,9;2,9;3,0;1,3;12,7;12,8;12,8;12,7;12,7;12,6;8,0;3,5;3,5;3,5;3,3;2,1;3,9;3,9;3,8;3,7;3,6;3,6;3,6;3,5;3,4;3,3;3,1;2,1;6,1;6,0;5,8;5,6;5,7;5,7;5,6;5,5;5,4;5,4;5,2;5,0;1,4;0,9;0,8;0,7;0,6;1,0;1,0;0,8;0,6;0,3;-5,0;-2,2;5,1;5,0;4,9;4,8;4,0;3,9;3,9;3,5;3,5;0,3;0,3;0,2;5,5;5,5;5,5;5,6;5,5;5,5;5,4;4,6;0,5;0,4;0,3;0,1;2,8;2,7;2,7;2,7;2,7;2,6;2,1;2,1;2,0;1,9;1,7;0,1;4,6;4,6;4,6;4,6;4,6;4,5;4,5;4,4;4,2;0,1;-0,1;-0,1
